Corporation			Plays		Wins		WinRate
UMNI				3		3		100.0
Ecoline				16		15		93.75
InterplanetaryCinematics	14		13		92.86
CrediCor			18		15		83.33
TharsisRepublic			12		10		83.33
Helion				11		9		81.82
Inventrix			5		4		80.0
SaturnSystems			5		4		80.0
PhoboLog			10		7		70.0
ThorGate			10		7		70.0
Teractor			11		6		54.55
MiningGuild			11		5		45.45
